V1,V2,V3
-11.9326923076923,43.9328358208955,-5045.5888671875
-11.8653846153846,43.9328358208955,-5041.36865234375
-11.7980769230769,43.9328358208955,-5041.61865234375
-11.7307692307692,43.9328358208955,-5043.07861328125
-11.6634615384615,43.9328358208955,-5039.2587890625
-11.5961538461538,43.9328358208955,-5035.85888671875
-11.5288461538462,43.9328358208955,-5031.6484375
-11.4615384615385,43.9328358208955,-5027.86328125
-11.3942307692308,43.9328358208955,-5019.6533203125
-11.3269230769231,43.9328358208955,-5007.13330078125
-11.2596153846154,43.9328358208955,-5003.123046875
-11.1923076923077,43.9328358208955,-5000.76318359375
-11.125,43.9328358208955,-4995.88330078125
-11.0576923076923,43.9328358208955,-4992.29345703125
-10.9903846153846,43.9328358208955,-4989.5234375
-10.9230769230769,43.9328358208955,-4987.53759765625
-10.8557692307692,43.9328358208955,-4985.6875
-10.7884615384615,43.9328358208955,-4983.12744140625
-10.7211538461538,43.9328358208955,-4978.2578125
-10.6538461538462,43.9328358208955,-4975.48779296875
-10.5865384615385,43.9328358208955,-4973.5576171875
-10.5192307692308,43.9328358208955,-4974.73779296875
-10.4519230769231,43.9328358208955,-4978.98779296875
-10.3846153846154,43.9328358208955,-4982.3798828125
-10.3173076923077,43.9328358208955,-4968.33984375
-10.25,43.9328358208955,-4779.259765625
-10.1826923076923,43.9328358208955,-4539.56005859375
-10.1153846153846,43.9328358208955,-4449.52001953125
-10.0480769230769,43.9328358208955,-4510.23974609375
-9.98076923076923,43.9328358208955,-4345.22998046875
-9.91346153846154,43.9328358208955,-4065.82983398438
-9.84615384615385,43.9328358208955,-3764.21606445312
-9.77884615384615,43.9328358208955,-3434.1962890625
-9.71153846153846,43.9328358208955,-3068.1162109375
-9.64423076923077,43.9328358208955,-2788.6962890625
-9.57692307692308,43.9328358208955,-2655.75610351562
-9.50961538461539,43.9328358208955,-2734.8662109375
-9.44230769230769,43.9328358208955,-2986.90625
-9.375,43.9328358208955,-3105.67626953125
-9.30769230769231,43.9328358208955,-2922.8046875
-9.24038461538461,43.9328358208955,-2295.28466796875
-9.17307692307692,43.9328358208955,-1925.95471191406
-9.10576923076923,43.9328358208955,-1592.45471191406
-9.03846153846154,43.9328358208955,-1321.134765625
-8.97115384615385,43.9328358208955,-1076.60473632812
-8.90384615384615,43.9328358208955,-854.054748535156
-8.83653846153846,43.9328358208955,-685.174743652344
-8.76923076923077,43.9328358208955,-545.561767578125
-8.70192307692308,43.9328358208955,-473.341766357422
-8.63461538461539,43.9328358208955,-392.421752929688
-8.56730769230769,43.9328358208955,-333.031768798828
-8.5,43.9328358208955,-284.631774902344
-8.43269230769231,43.9328358208955,-239.501754760742
-8.36538461538461,43.9328358208955,-211.041763305664
-8.29807692307692,43.9328358208955,-201.291763305664
-8.23076923076923,43.9328358208955,-199.646453857422
-8.16346153846154,43.9328358208955,-189.956451416016
-8.09615384615385,43.9328358208955,-183.136444091797
-8.02884615384615,43.9328358208955,-173.696441650391
-7.96153846153846,43.9328358208955,-163.086441040039
-7.89423076923077,43.9328358208955,-156.196441650391
-7.82692307692308,43.9328358208955,-151.236450195312
-7.75961538461539,43.9328358208955,-146.766448974609
-7.69230769230769,43.9328358208955,-145.662368774414
-7.625,43.9328358208955,-153.892364501953
-7.55769230769231,43.9328358208955,-135.692367553711
-7.49038461538462,43.9328358208955,-138.152374267578
-7.42307692307692,43.9328358208955,-144.342361450195
-7.35576923076923,43.9328358208955,-115.882369995117
-7.28846153846154,43.9328358208955,-126.85237121582
-7.22115384615385,43.9328358208955,-156.392364501953
-7.15384615384615,43.9328358208955,-159.485061645508
-7.08653846153846,43.9328358208955,-159.615051269531
-7.01923076923077,43.9328358208955,-142.505065917969
-6.95192307692308,43.9328358208955,-142.635055541992
-6.88461538461539,43.9328358208955,-142.115051269531
-6.81730769230769,43.9328358208955,-125.635055541992
-6.75,43.9328358208955,-117.69506072998
-6.68269230769231,43.9328358208955,-126.235061645508
-6.61538461538462,43.9328358208955,-156.371231079102
-6.54807692307692,43.9328358208955,-232.381225585938
-6.48076923076923,43.9328358208955,-490.471221923828
-6.41346153846154,43.9328358208955,-996.551208496094
-6.34615384615385,43.9328358208955,-1588.61120605469
-6.27884615384615,43.9328358208955,-1625.62121582031
-6.21153846153846,43.9328358208955,-898.961242675781
-6.14423076923077,43.9328358208955,-905.571228027344
-6.07692307692308,43.9328358208955,-811.202209472656
-6.00961538461539,43.9328358208955,-702.352233886719
-5.94230769230769,43.9328358208955,-464.26220703125
-5.875,43.9328358208955,-685.752197265625
-5.80769230769231,43.9328358208955,-496.322204589844
-5.74038461538462,43.9328358208955,-497.622192382812
-5.67307692307692,43.9328358208955,-324.672210693359
-5.60576923076923,43.9328358208955,-298.172210693359
-5.53846153846154,43.9328358208955,-333.9384765625
-5.47115384615385,43.9328358208955,-387.518463134766
-5.40384615384615,43.9328358208955,-403.158477783203
-5.33653846153846,43.9328358208955,-486.138488769531
-5.26923076923077,43.9328358208955,-628.118469238281
-5.20192307692308,43.9328358208955,-824.138488769531
-5.13461538461539,43.9328358208955,-735.878479003906
-5.06730769230769,43.9328358208955,-753.658447265625
-5,43.9328358208955,-885.352783203125
-12,43.865671641791,-5046.36865234375
-11.9326923076923,43.865671641791,-5043.35888671875
-11.8653846153846,43.865671641791,-5041.74853515625
-11.7980769230769,43.865671641791,-5038.46875
-11.7307692307692,43.865671641791,-5033.78857421875
-11.6634615384615,43.865671641791,-5029.24853515625
-11.5961538461538,43.865671641791,-5026.1787109375
-11.5288461538462,43.865671641791,-5024.1884765625
-11.4615384615385,43.865671641791,-5021.63330078125
-11.3942307692308,43.865671641791,-5016.25341796875
-11.3269230769231,43.865671641791,-5006.72314453125
-11.2596153846154,43.865671641791,-5003.443359375
-11.1923076923077,43.865671641791,-5001.25341796875
